Address,Price,Description,Place,Beds,Bath,Sq.Ft,Website
566 Legacy Circle SE,633000,CA  AB T2X5J4,Legacy,3,2.5,1652,Greater CA Real Estate
277 Spring Creek Circle SW,1395000,CA  AB T3H 6G4,Springbank Hill,4,2.5,2806,Cir Realty
152 Hawksbrow Dr NW,699900,CA  AB T3G 3E2,Hawkwood,4,3,1530,RE/MAX Real Estate (Central)
34 Spring Valley Place SW,1849900,CA  AB T3H5S2,Springbank Hill,3,4,4167,Royal Lepage Solutions
227 2 Ave NE,2350000,CA  AB T3E 0E3,Crescent Heights,3,3.5,3037,RE/MAX Real Estate (Central)
350 4 Ave NE #203,314900,CA  AB T2E 0J3,Crescent Heights,2,2,1176,Bode Platform Inc.
159 Rocky Ridge Dr NW,1495000,CA  AB T3G 4M1,Rocky Ridge,4,2.5,2186,Greater Property Group
34 Sunlake Manor SE,749900,CA  AB T2X 3E5,Sundance,4,3.5,2091,RE/MAX Landan Real Estate
175 Silverado Blvd SW #3104,329900,CA  AB T2X 0V5,Silverado,2,2,862,Exp Realty
434 29 Ave NE,1999000,CA  AB T2E 2C5,Winston Heights/Mountview,6,4.5,4011,Exp Realty
9110 34 Ave,2299000,CA  AB T1X 0L5,,6,4.5,2034,Real Broker
527 15 Ave SW #307,400000,CA  AB T2R 1R5,Beltline,2,1,838,Listed by Jeff Mikolajow
2300 Oakmoor Dr SW #25,375000,CA  AB T2V 4N7,Oakmoor Village,3,1.5,1147,First Place Realty
2319 56 St NE #54,299000,CA  AB T1Y 2M2,Pineridge,3,1.5,1008,Listed by Navneet Dhillon
550 Riverfront Ave SE #704,297500,CA  AB T2G 1E5,Downtown East Village,1,1,500,RE/MAX Real Estate (Mountain View)
40 Cedardale Rise SW,699900,CA  AB T2W 3Y5,Cedarbrae,4,3,1090,Cir Realty
223 Inverness Park SE,750000,CA  AB T2Z 3K6,Mckenzie Towne,4,3.5,1822,Maxwell Canyon Creek
96 Coventry Rd NE,588000,CA  AB T3K 5K4,Coventry Hills,4,2,1445,Grand Realty
112 Auburn Bay Ave SE,999900,CA  AB T3M 0K8,Auburn Bay,4,4,2974,Century 21 Bamber Realty Ltd.
7430 20 St SE #A&B,545000,CA  AB T2C0P8,Ogden,4,2,933,Cir Realty
181 Skyview Ranch Manor NE #3404,234900,CA  AB T3N 0V2,Skyview Ranch,1,1,589,RE/MAX House Of Real Estate
140 Woodfield Rd SW,699900,CA  AB T2W 3V9,Woodbine,7,3.5,2550,Urban-Realty.Ca
75 Fenton Rd SE,639900,CA  AB T2H1B8,Fairview,3,2,1149,Real Broker
2326 26 Ave NW,1199300,CA  AB T2M 2G7,Banff Trail,4,3.5,2208,Purpose Realty
524 Crescent Rd NW,2795000,CA  AB T2M 4A5,Rosedale,4,3.5,2727,Sotheby's International Realty Canada
1234 5 Ave NW #2503,209900,CA  AB T2N 0R9,Hillhurst,1,1,307,Royal Lepage Benchmark
905 Cranbrook Walk SE,369900,CA  AB T3M 2V5,Cranston,2,1,835,2% Realty
1222 13 Ave SW #309,299000,CA  AB T3C 0T1,Beltline,2,1,850,Maxwell Capital Realty
16969 24 St SW #1202,295000,CA  AB T2Y 0H9,Bridlewood,2,2,931,Property Solutions Real Estate Group Inc.
2000 Sienna Park Green SW #2106,299900,CA  AB T3H 3N7,Signal Hill,2,2,990,RE/MAX House Of Real Estate
2635 Eversyde Ave SW #305,295900,CA  AB T2Y 5G9,Evergreen,1,2,644,RE/MAX Landan Real Estate
14 Greenwood Crescent SW,750000,CA  AB T3E4X4,Glamorgan,5,2,980,Century 21 Bamber Realty Ltd.
124 Citadel Close NW,635000,CA  AB T3G 4A6,Citadel,4,2.5,1997,Bow Realty
307 Hawkdale Bay NW,919000,CA  AB T3G 3M8,Hawkwood,4,4.5,2293,Greater CA Real Estate
280 Evansdale Way NW,499900,CA  AB T3P 0C2,Evanston,3,2,824,Cir Realty
426 Bridlecreek Green SW,599900,CA  AB T2Y 3P1,Bridlewood,4,3,1235,Century 21 Bamber Realty Ltd.
8710 Horton Rd SW #1003,265000,CA  AB T2V 0P7,Haysboro,1,1,705,Maxwell Capital Realty
399 Falmere Rd NE,584999,CA  AB T3J2Z8,Falconridge,5,2,1052,Royal Lepage Metro
222 Riverfront Ave SW #451,279900,CA  AB T2P 0X2,Chinatown,1,1,488,First Place Realty
30 Mchugh Ct NE #414,230000,CA  AB T3E 7X3,Mayland Heights,2,1,851,Maxwell Capital Realty
223 Belmont Heath SW,689000,CA  AB T2X 4N4,Belmont,3,2.5,1880,Real Estate Professionals Inc.
7210 80 Ave NE #204,299900,CA  AB T3J0N7,Saddle Ridge,2,2,756,Prep Realty
333 Taravista Dr NE #1102,299900,CA  AB T3J 0H3,Taradale,2,2,885,The Real Estate Company
120 15 St NW,1050000,CA  AB T2N 2A7,Hillhurst,3,2,1444,Royal Lepage Solutions
5320 La Salle Crescent SW,1199000,CA  AB T3E 5Y5,Lakeview,4,3.5,1406,Urban-Realty.Ca
212 Ranchero Place NW,849900,CA  AB T3G1C7,Ranchlands,4,3.5,2118,RE/MAX Real Estate (Central)
883 Walgrove Blvd SE,600000,CA  AB T2X 4G1,Walden,3,2.5,1721,Cir Realty
89 Elkton Way SW,1349000,CA  AB T3H 4Y9,Springbank Hill,6,4.5,3150,RE/MAX Complete Realty
155 Lucas Heights Heights NW,864900,CA  AB T3P1X4,Livingston,4,2,2182,RE/MAX Real Estate (Mountain View)
81 Aspen Ridge Crescent SW,1350000,CA  AB T3H 5J7,Aspen Woods,4,3.5,1915,RE/MAX Irealty Innovations
222 Masters Row SE,839900,CA  AB T3M 2R9,Mahogany,4,3.5,2295,Real Broker
266 Howse Dr NE,719900,CA  AB T3P 1K5,Livingston,3,2.5,2039,2% Realty
96 Evergreen Common SW,850000,CA  AB T2Y 4N7,Evergreen,4,3.5,2396,Listed by Justin Havre
3812 14 Ave NE,550000,CA  AB T2A 7L6,Marlborough,3,2.5,1492,RE/MAX Key
550 Riverfront Ave SE #503,355000,CA  AB T2G 1E5,Downtown East Village,2,2,695,Royal Lepage Benchmark
2233 13 St SW,1365999,CA  AB T2T 3P8,Upper Mount Royal,4,2,1451,RE/MAX Realty Professionals
4001A 49 St NW #1301,240000,CA  AB T3A 2C9,Varsity,2,1,812,RE/MAX Complete Realty
920 5 Ave SW #2001,649900,CA  AB T2P 5P6,Downtown Commercial Core,2,2,1318,RE/MAX Real Estate (Mountain View)
9561 Hidden Valley Dr NW,625000,CA  AB T3A 5S7,Hidden Valley,3,2.5,1437,RE/MAX Real Estate (Central)
181 Skyview Ranch Manor NE #4116,312900,CA  AB T3N 0V2,Skyview Ranch,2,1,899,RE/MAX House Of Real Estate
34 Siverado Creek Crescent SW,670000,CA  AB T3X0C6,Silverado,3,2.5,1918,Diamond Realty & Associates Ltd.
1933 26 St SW #2,589000,CA  AB T2E 2A2,Killarney/Glengarry,3,2.5,1609,Park Real Estate Associates Inc.
4532 21 Ave NW,874900,CA  AB T3B 0W4,Montgomery,4,3.5,1756,Century 21 Elevate Real Estate
3622 8 Ave NW,1350000,CA  AB T2N 1E1,Parkdale,4,3.5,2874,RE/MAX Realty Professionals
42 Nolanhurst Common NW,785000,CA  AB T3R1J4,Nolan Hill,4,3.5,2111,Listed by Justin Havre
12059 Diamond View SE,679900,CA  AB T2J 7B1,Diamond Cove,4,2.5,2130,Maxwell Capital Realty
330 26 Ave SW #1505,650000,CA  AB T2S 2T3,Mission,1,1.5,1185,Listed by Justin Havre
96 Sandarac Way NW,449900,CA  AB T3K 2Y3,Sandstone Valley,3,1.5,1073,First Place Realty
25 Erin Woods Place SE,465000,CA  AB T2B 2W5,Erin Woods,3,1.5,1130,Real Broker
23 Covemeadow Close NE,489900,CA  AB T3K 6B2,Coventry Hills,3,1.5,1347,Maxwell Capital Realty
88 Prestwick Dr SE,554900,CA  AB T2Z 4K8,Mckenzie Towne,4,3.5,1694,RE/MAX Realty Professionals
720 13 Ave SW #830,725000,CA  AB T2R 1M5,Beltline,2,2,1504,Real Broker
2828 29 St SW,995000,CA  AB T3E 2K8,Killarney/Glengarry,4,3.5,1901,RE/MAX House Of Real Estate
1124 Bellevue Ave SE,2080000,CA  AB T2G 4L1,Ramsay,4,3.5,3132,RE/MAX House Of Real Estate
233 Mckenzie Towne Ln SE,289900,CA  AB T2Z 0C3,Mckenzie Towne,1,1.5,837,Town Residential
2012 3 Ave NW,1695000,CA  AB T2N 0K2,West Hillhurst,4,3.5,39654,Cir Realty
1605 17 St SE #234,320000,CA  AB T2G 5S8,Inglewood,1,1,490,Save Max Star
40 Mahogany Manor SE,849900,CA  AB T3M 0Y3,Mahogany,3,3.5,2402,RE/MAX Real Estate (Central)
73 Erin Woods Ct SE #4102,199000,CA  AB T2B 3V2,Erin Woods,1,1,559,Urban-Realty.Ca
10 Auburn Bay Link SE #306,359900,CA  AB T3M 1Z6,Auburn Bay,2,2,866,Cir Realty
90 Corner Meadows Manor Manor NE,510000,CA  AB T3N 2E2,Cornerstone,4,3.5,1727,Cir Realty
857 Belmont Dr SW #231,472395,CA  AB T2X 4P2,Goodwin By Anthem,2,2.5,1154,Royal Lepage Benchmark
4822 1 St SW,469900,CA  AB T2G0A2,Manchester,2,2,884,Charles
8607 Elbow Dr SW #108,199900,CA  AB T2V1K8,Haysboro,2,1,889,Cir Realty
355 Penswood Way SE,298000,CA  AB T2A 4T4,Penbrooke Meadows,3,2,1072,Urban-Realty.Ca
163 Taracove Estate Dr NE,674900,CA  AB T3j 4R1,Taradale,7,3,1552,Urban-Realty.Ca
1910 8 Ave SE,399900,CA  AB T2G 0N6,Inglewood,1,1,730,Grand Realty
169 Martinridge Crescent NE,528888,CA  AB T3J 3M3,Martindale,3,1.5,1251,Exp Realty
1210 15 St SE,679900,CA  AB T2G 1K2,Inglewood,3,3.5,1676,Listed by Aleksey Julanov
816 Skyview Ranch Grove NE,449000,CA  AB T3N0R7,Skyview Ranch,4,2.5,1506,Prep Realty
592 Evansborough Way NW,789900,CA  AB T3P 0M2,Evanston,3,2.5,2463,RE/MAX Crown
220 Coachway Ln SW,459000,CA  AB T3H 2V9,Coachway Gardens,3,2.5,1247,Cir Realty
327 9A St NW #603,429900,CA  AB T2N 1T7,Sunnyside,2,2,595,Cir Realty
823 1 Ave NW #301,270000,CA  AB T2N0A4,Sunnyside,2,1,757,Grassroots Realty Group
1921 23 Ave NW,749000,CA  AB T2M 1V9,Banff Trail,3,2,867,Urban-Realty.Ca
315 3 St SE #804,269000,CA  AB T2G 0S3,Downtown East Village,1,1,690,Maxwell Capital Realty
246 Alexandria Green SW,2199000,CA  AB T3E 6Z8,Currie Barracks,5,4.5,3441,Bode Platform Inc.
167 Cramond Green SE,449900,CA  AB T3M 1B7,Cranston,3,2.5,1139,Real Estate Professionals Inc.
44 Sundown Way SE,659900,CA  AB T2X 3B6,Sundance,4,3.5,1876,Listed by Jacqueline Ulch
8445 Broadcast Ave SW #608,399900,CA  AB T3H 6B6,West Springs,2,2,584,RE/MAX Irealty Innovations
446 Harvest Hills Dr NE,579900,CA  AB T3K 4Z4,Harvest Hills,4,2.5,1572,RE/MAX Real Estate (Mountain View)
64 Riverbirch Rd SE,500000,CA  AB T2C3M6,Riverbend,3,2,908,Cir Realty
325 3 St SE #1303,309900,CA  AB T2G 0T9,Downtown East Village,1,1,658,Maxwell Elite Realty
304 Copperstone Cove SE,429900,CA  AB T2Z 0L3,Copperfield,2,2.5,1355,RE/MAX Real Estate (Central)
305 Tuscany Springs Way NW,590000,CA  AB T3L 2X7,Tuscany,2,2.5,1450,First Place Realty
52 Tararidge Dr NE,469900,CA  AB T3J 2R6,Taradale,5,2,926,RE/MAX Crown
163 Corner Meadows Way NE,739900,CA  AB T3N 1Y5,Cornerstone,3,2.5,1916,RE/MAX Crown
3730 50 St NW #314,199999,CA  AB T3A 2V9,Varsity,1,1,845,Maxwell Capital Realty
1129 Maggie St SE,1300000,CA  AB T2G 4L8,Ramsay,3,2.5,2150,Cir Realty
2446 23 St NW,999999,CA  AB t2m3y3,Banff Trail,4,3.5,1901,Cir Realty
158 Evanscove Circle NW,749900,CA  AB T3P 0A2,Evanston,3,2.5,2271,RE/MAX Complete Realty
236 Evergreen Ct SW,949900,CA  AB T2Y 2X5,Evergreen,5,3.5,2486,RE/MAX Landan Real Estate
108 Cougar Ridge Manor SW,890000,CA  AB t3h 0v3,Cougar Ridge,3,2.5,2583,Real Estate Professionals Inc.
60 Nolancrest Green NW,725000,CA  AB T3R 0V7,Nolan Hill,4,3.5,1988,RE/MAX Real Estate (Central)
216 Nolancliff Crescent NW,738888,CA  AB T3R 0T4,Nolan Hill,3,2.5,1918,RE/MAX Real Estate (Central)
122 Bearberry Crescent NW,589900,CA  AB T3K 1R3,Beddington Heights,5,3,1317,RE/MAX Real Estate (Mountain View)
4538 19 Ave NW,643990,CA  AB T3B 0S2,Montgomery,4,1.5,1290,Hope Street Real Estate Corp.
4405 17 Ave NW,768000,CA  AB T3B 0N7,Montgomery,4,3.5,1749,G.M. Bain Real Estate Services Ltd.
1112 31 Ave NW,1199900,CA  AB T2K 0A9,Cambrian Heights,4,3.5,2172,RE/MAX Landan Real Estate
434 22 Ave NE,750000,CA  AB T2E 1T7,Winston Heights/Mountview,4,3.5,1680,Royal Lepage Solutions
679 Brookpark Dr SW,629900,CA  AB T2W 2X2,Braeside,3,2.5,1374,Royal Lepage Benchmark
71 Lynx Meadows Dr NW,2000000,CA  AB T3L 3L9,,6,4.5,3688,Greater Property Group
10 Sage Hill Walk NW #412,374900,CA  AB T3R 1X9,Sage Hill,2,2,702,Nineteen 88 Real Estate
1631 28 Ave SW #407,379999,CA  AB t2T 1J5,South CA,2,2,1184,Real Broker
8604 48 Ave NW #613,229900,CA  AB T3B5E6,Bowness,2,1,884,Royal Lepage Benchmark
1828 14 St SW #202,295900,CA  AB T2T 3S9,Lower Mount Royal,1,1.5,800,Listed by Giselle  Kee Wilson
1704A 32 St,849900,CA  AB T3C 1N5,Shaganappi,4,3.5,1724,RE/MAX Real Estate (Central)
52 Millrise Dr SW,599900,CA  AB T2Y 2C6,Millrise,4,3,1854,RE/MAX Irealty Innovations
550 Legacy Circle SE,610845,CA  AB T2X 5J5,Legacy,4,2.5,1753,Exp Realty
721 4 St NE #342,325000,CA  AB T2E 3S7,Renfrew,1,1,591,Bode Platform Inc.
3940 1A St SW,1550000,CA  AB T2S 1R7,Parkhill,2,1.5,1027,Charles
562 Legacy Circle SE,606620,CA  AB T2X 5J5,Legacy,3,2.5,1611,Exp Realty
570 Legacy Circle SE,615390,CA  AB T2X 5J4,Legacy,3,2.5,1753,Exp Realty
707 33 St NW,859900,CA  AB T2N2W7,Parkdale,2,1,1097,Urban-Realty.Ca
213 Sherwood Ln NW,479900,CA  AB T3R 0V3,The Timbers,2,2.5,1171,RE/MAX Real Estate (Central)
34 Mahogany Dr SE,538888,CA  AB T3M 2K2,Mahogany,2,2.5,1120,RE/MAX Irealty Innovations
200 Seton Circle SE #5111,380000,CA  AB T3M3V3,Seton,2,2,850,Exp Realty
125 Redstone Crescent NE,449900,CA  AB T3N 1M4,Redstone,4,3.5,1197,Prep Realty
82 Hallbrook Dr SW,799000,CA  AB T2V 3H6,Haysboro,3,3,1298,Maxwell Canyon Creek
26 Mahogany Circle SE #101,1199000,CA  AB T3M 2V7,Mahogany,2,2,1444,Century 21 Bamber Realty Ltd.
156 Nolanfield Way NW,665000,CA  AB T3R 0M8,Nolan Hill,3,2.5,1701,The Real Estate Company
23 Millrise Dr SW #108,239900,CA  AB T2Y 3V1,Millrise,1,1,604,Royal Lepage Benchmark
417 3 Ave NE #102,349900,CA  AB T2E 0H7,Crescent Heights,2,2,1084,Coldwell Banker Home Smart Real Estate
20 Silverado Crest Park SW #212,735099,CA  AB T2X 0R7,Silverado,3,2.5,1167,Real Broker
788 12 Ave SW #803,464900,CA  AB T2R 0H1,Beltline,2,2,1112,RE/MAX Real Estate (Central)
116 Strathridge Place SW,1259990,CA  AB T3H 4J1,Strathcona Park,4,4.5,3004,Homecare Realty Ltd.
1609 2A St NW,539900,CA  AB T2M 2X5,Crescent Heights,2,1.5,715,Top Producer Realty And Property Management
1730 7 St SW #302,234900,CA  AB t2t2w6,Lower Mount Royal,1,1,576,Boutique Real Estate Group Inc.
80 Coverton Close NE,539900,CA  AB T3K 4P3,Coventry Hills,3,2,998,Cir Realty
188 15 Ave SW #204,329000,CA  AB T2R 1S4,Beltline,1,1,759,Century 21 Bamber Realty Ltd.
303 Saddlebrook Way NE,639786,CA  AB T3J 0B4,Saddle Ridge,4,3.5,1497,Urban-Realty.Ca
601 Saddlecreek Way NE,610000,CA  AB T3J 4A4,Saddle Ridge,3,2.5,1675,Maxwell Capital Realty
123 22 Ave NE #102,229900,CA  AB T2E 1T4,Tuxedo Park,3,1,954,Maxwell Capital Realty
3511 15 St SW #5,199000,CA  AB T2T 4A4,Altadore,1,1,514,Seller Direct Real Estate
901 10 Ave SW #3305,845000,CA  AB T2R 0B5,Beltline,2,2.5,1207,Equium Living
99 Copperstone Park SE #2418,329000,CA  AB T2Z 5C9,Copperfield,2,2,912,Cir Realty
3407 3 Ave NW,759000,CA  AB T2N 0M4,Parkdale,3,1,1302,Cir Realty
4944 Dalton Dr NW #1512,249900,CA  AB T3A 2E6,Dalhousie,2,1,753,Maxwell Capital Realty
52 Spring Willow Terrace SW,1495000,CA  AB T3H 0G2,Springbank Hill,4,3.5,3051,Greater Property Group
6407 58 St NW,2499000,CA  AB T3A4R5,Dalhousie,2,2,2056,RE/MAX House Of Real Estate
402 Skyview Ranch Way NE,759900,CA  AB T3N 0C6,Skyview Ranch,5,3.5,2048,Real Broker
838 Mcpherson Rd NE #2,650000,CA  AB T2E 4Z5,Bridgeland/Riverside,2,3.5,1556,RE/MAX Irealty Innovations
3938 Doverdale Crescent SE,279900,CA  AB T2B 1V7,Dover,2,1,791,Westen Elite Real Estate
95 Applestone Park SE,699800,CA  AB T2A7W1,Applewood Park,4,3.5,1638,Diamond Realty & Associates Ltd.
65 Mystic Ridge Way SW,1529000,CA  AB T3H 1S7,Springbank Hill,4,3,2072,Real Broker
805 Auburn Bay Circle SE #805,299000,CA  AB T3M 2A3,Auburn Bay,2,2,1073,Vip Realty & Management
69 Country Village Manor NE #5206,269000,CA  AB T3K 0P1,Country Hills Village,2,2,842,RE/MAX Irealty Innovations
70 Sherwood Point NW,899900,CA  AB T3R 1P2,Sherwood,4,3.5,2710,RE/MAX Crown
101 Clarendon Rd NW,900000,CA  AB T2L 0P4,Collingwood,3,3,1449,RE/MAX Real Estate (Central)
488 7 Ave NE #403,399900,CA  AB T2E 0N2,Renfrew,2,2,1157,Exp Realty
550 Riverfront Ave SE #1604,300000,CA  AB T2G 1E5,Downtown East Village,1,1,499,RE/MAX Real Estate (Central)
302 Evanston Dr NW,699900,CA  AB T3P 0E3,Evanston,3,2.5,2330,Century 21 Bamber Realty Ltd.
3115 51 St SW #2308,238800,CA  AB T3E 6P4,Glenbrook,2,1,732,Century 21 Bamber Realty Ltd.
111 16 St NW,1100000,CA  AB T2N 4S1,Hillhurst,3,3.5,2266,Real Broker
99 Sierra Morena Manor SW,819500,CA  AB T3H 1S9,Signal Hill,3,3,1389,Century 21 Bamber Realty Ltd.
163 Discovery Ridge Way SW,889900,CA  AB T3H 5G3,Discovery Ridge,4,3.5,2382,RE/MAX Landan Real Estate
132 Panatella View NW,919900,CA  AB T3K 0N4,Panorama Hills,4,3.5,2910,Homecare Realty Ltd.
163 Mallard Grove SE,719888,CA  AB T3S 0E2,Rangeview,3,2.5,1860,Cir Realty
875 Auburn Bay Blvd SE,779000,CA  AB T3M 0H6,Auburn Bay,4,3.5,1991,Exp Realty
2410 Kensington Rd NW #2,660000,CA  AB T2N 3S1,West Hillhurst,3,3.5,1579,Real Broker
4625 72 St NW,799000,CA  AB T2B 2L3,Bowness,4,3.5,1724,RE/MAX House Of Real Estate
1500 7 St SW #702,329900,CA  AB T2R 1A7,Beltline,1,1,559,Real Broker
292 Legacy Mount SE,1164900,CA  AB T2X 2G7,Legacy,4,3.5,2887,Century 21 Bravo Realty
8936 46 St NE,569900,CA  AB T3J 0X6,Saddle Ridge,3,2.5,1600,Royal Lepage Metro
11377 Braeside Dr SW,599900,CA  AB T2W 2V6,Braeside,3,2,1562,Century 21 Bravo Realty
222 Riverfront Ave SW #1218,333800,CA  AB T2P 0W3,Chinatown,1,1,531,Real Broker
20 Sage Bank Rd NW,789800,CA  AB T3R 0J7,Sage Hill,5,3.5,2250,Creekside Realty
39 Shawcliffe Rd SW,599900,CA  AB T2Y 1H9,Shawnessy,5,2,1130,2% Realty
20733 Main St SE,564900,CA  AB T3M 3G6,Seton,2,2,1415,Jayman Realty Inc.
2010 37 Ave SW,1698000,CA  AB T2T 2H5,Altadore,3,4.5,2930,Century 21 Bamber Realty Ltd.
2312 23 Ave SW,859000,CA  AB T2T 0W2,Richmond,4,4.5,2083,First Place Realty
160 Fredson Dr SE,509000,CA  AB T2H 1E1,Fairview,2,1,873,S.J. Williams & Associates Realty Ltd.
106 Nolan Hill Heights NW,499000,CA  AB T3R 0S5,Trinity,2,2.5,1575,Homecare Realty Ltd.
80 Hartford Rd NW,749900,CA  AB T2K2A5,Highwood,5,3,1224,Royal Lepage Benchmark
1428 27 St SW,1099000,CA  AB T3C 1L3,Shaganappi,4,3.5,2021,Cir Realty
2507 21 St SW,1199000,CA  AB T2T 5A9,Richmond,4,3.5,2494,Synterra Realty
615 6 Ave SE #1609,530000,CA  AB T2G 0H3,Downtown East Village,2,2,837,Greater CA Real Estate
1025 14 Ave SW #102,230000,CA  AB T2R 0N9,Beltline,2,1,769,First Place Realty
1922 29 Ave SW,949900,CA  AB T2T 1N1,South CA,3,3.5,1530,RE/MAX Realty Professionals
342 Superior Ave SW,1999900,CA  AB T3C2J2,Scarboro,5,3.5,3209,RE/MAX Landan Real Estate
1320 12 Ave SW #601,217500,CA  AB T3C 3R6,Beltline,2,1,876,Exp Realty
276 Ambleton St NW,525000,CA  AB T3P 1W4,Ambleton,3,2.5,1344,Exp Realty
930 Sage Hill Grove NW,510000,CA  AB T3R 2A2,Sage Hill,3,3.5,1078,Royal Lepage Metro
1508 Evergreen Hill SW,899900,CA  AB T2Y 2V8,Evergreen,5,3.5,2525,Real Broker
1110 11 St SW #1909,279900,CA  AB T2R 1S5,Beltline,1,1,525,Property Solutions Real Estate Group Inc.
60 Falmead Close NE,459900,CA  AB T3J 1G9,Falconridge,4,2,906,Real Broker
2326 3 Ave NW,2295000,CA  AB T2N 0K8,West Hillhurst,5,2.5,3125,Listed by Jordan Lotoski
10120 Brookpark Blvd SW #131,199000,CA  AB T2W3G3,Braeside,2,1,810,Cir Realty
30 Saddlemead Close NE,569000,CA  AB T3J 4M6,Saddle Ridge,4,2.5,1244,The Real Estate Company
39 Wentworth Cove SW,529000,CA  AB T3H4P3,Sanctuary,3,2.5,1415,First Place Realty
2420 42 St SE,385000,CA  AB T2B1G7,Forest Lawn,1,1,641,RE/MAX Realty Professionals
3511 15 St SW #1,249900,CA  AB T2T 4A4,Altadore,2,1,830,Century 21 Bravo Realty
143 Templeridge Close NE,575000,CA  AB T1Y 4E1,Temple,5,2.5,1055,Century 21 Bamber Realty Ltd.
4635 Marwood Way NE,579900,CA  AB T2A 2S6,Marlborough,3,2,960,RE/MAX Real Estate (Mountain View)
55 Red Sky Crescent NE,870888,CA  AB T3N 1P8,Redstone,4,3,2730,Exp Realty
459 Penworth Rise SE,575000,CA  AB T2A 4E1,Penbrooke Meadows,7,3.5,1176,Grand Realty
1003 75 Ave SW,650000,CA  AB T2V 0S7,Chinook Park,4,2,1013,Listed by Jacqueline Ulch
47 Kinlea Link NW,689900,CA  AB T3R0C3,Kincora,4,3.5,1937,Real Estate Professionals Inc.
1075 Evanston Dr NW,749900,CA  AB T3P 0K4,Evanston,3,2.5,2084,Century 21 Bravo Realty
1937 44 St NW,719900,CA  AB T3B 4T9,Montgomery,4,2.5,1750,Real Broker
86 Somervale Park SW,389900,CA  AB T2Y 3J4,Somerset Village,2,1.5,1053,Urban-Realty.Ca
4935 Dalton Dr NW #206,443000,CA  AB T3A2E5,Tudor Mews,3,2.5,1493,First Place Realty
505 Canyon Meadows Dr SW #301,699999,CA  AB T2W 5V9,Canyon Meadows,2,2,1746,RE/MAX Real Estate (Mountain View)
67 Kinlea Way NW,449900,CA  AB T3R 0S2,Prospect Rise,3,2.5,1230,Cir Realty
604 24 Ave SW,1299900,CA  AB T2S 0K6,Cliff Bungalow,3,3.5,1862,RE/MAX Real Estate (Central)
462 23 Ave NW,755500,CA  AB T2M 1S4,Mount Pleasant,4,3.5,1764,The Real Estate Company
393 Patterson Hill SW #3309,234900,CA  AB T3H 2P4,Patterson,2,1,851,Charles
817 15 Ave SW #2500,1698000,CA  AB T2R 0H8,Beltline,3,2.5,2302,RE/MAX House Of Real Estate
616 15 Ave SW #302,329900,CA  AB T2R 0R5,Beltline,2,1,948,Cir Realty
10 Auburn Bay Ave SE #1004,406900,CA  AB T3M 0P6,Auburn Bay,2,2,1323,RE/MAX Landan Real Estate
532 5 Ave NE #106,279900,CA  AB T2E 0L2,Renfrew,1,1,664,RE/MAX Irealty Innovations
16969 24 St SW #4204,270000,CA  AB T2Y 0J7,Bridlewood,2,1,849,Real Broker
85 Capri Ave NW,2198000,CA  AB T2L 0G9,Collingwood,4,3.5,3790,Coldwell Banker Mountain Central
12735 Bonaventure Dr SE,799900,CA  AB T2J 4T9,Lake Bonavista,4,2.5,1995,Listed by Jamie Newton
2232 Longridge Dr SW,800000,CA  AB T3E 5N6,North Glenmore Park,5,1.5,1827,Listed by Kathy Thirsk
7727 67 Ave NW,749900,CA  AB T3B 4P2,Silver Springs,5,2.5,1169,Greater Property Group
73 Bermuda Way NW,429900,CA  AB T3K 1H1,Beddington Heights,4,2,872,Urban-Realty.Ca
5200 44 Ave NE #1315,209900,CA  AB T1Y7L4,Whitehorn,1,2,509,RE/MAX Landan Real Estate
31 Aspen Ridge Point SW,3338881,CA  AB T3H5H9,Aspen Woods,5,4.5,3858,Bode Platform Inc.
510 Edmonton Trl NE #128,399900,CA  AB T2E 0J7,Bridgeland/Riverside,2,2,734,Royal Lepage Benchmark
8880 Horton Rd SW #504,264900,CA  AB T2V2W3,Haysboro,1,1,701,Century 21 Elevate Real Estate
137 Sundown Place SE,639900,CA  AB T2X 3B7,Sundance,5,3,1581,Century 21 Bamber Realty Ltd.
1127 39 St SE,549000,CA  AB T2A 1H4,Forest Lawn,4,2,1135,Real Estate Professionals Inc.
204 Christie Park Manor SW,729800,CA  AB T3H 2T6,Christie Park,3,2.5,1375,RE/MAX Realty Professionals
169 Sage Meadows Circle NW,1218000,CA  AB T3P 0G2,Sage Hill,6,3.5,2706,Real Estate Professionals Inc.
36 Whiteram Way NE,597000,CA  AB t1y5w8,Whitehorn,4,3,1396,Urban-Realty.Ca
7715 Hunterquay Rd NW,610000,CA  AB T2K 4T9,Huntington Hills,5,2.5,1085,RE/MAX Real Estate (Mountain View)
1607 11 Ave SW #109,399900,CA  AB T3C 0N3,Fairwood Court,2,2,1204,Listed by Todd Renneberg
931 Woodbine Blvd SW,680000,CA  AB T2W 4A6,Woodbine,4,3.5,1962,Real Broker
27 Brightondale Crescent SE,619900,CA  AB t2z 4g6,New Brighton,3,3.5,1757,Exp Realty
242 Coral Springs Landing NE,750000,CA  AB T3J 3T6,Coral Springs,4,3.5,2273,Cir Realty
717 4A St NE #105,200000,CA  AB T2E 3W1,Renfrew,1,1,550,Cir Realty
3840 1 St SW,389900,CA  AB T2S 1R3,Parkhill,1,2,401,Century 21 Bamber Realty Ltd.
